transaction_id,town,state,datestamp,bread_size,bread_price_NGN
1,Maiduguri,Borno,2025-08-07,Large,2200
2,Orlu,Imo,2024-05-15,Medium,1200
3,Vandeikya,Benue,2024-11-14,Small,500
4,Akure,Ondo,2024-10-07,Small,500
5,Brass,Bayelsa,2025-10-17,Medium,1200
6,Illela,Sokoto,2025-09-03,Small,500
7,Talata Mafara,Zamfara,2026-02-08,Extra Large,3500
8,Deba,Gombe,2024-06-29,Large,2200
9,Umuahia,Abia,2025-03-01,Extra Large,3500
10,Idah,Kogi,2024-05-18,Medium,1200
11,Agbani,Enugu,2024-10-03,Small,500
12,Oporoma,Bayelsa,2025-05-01,Small,500
13,Omu-Aran,Kwara,2024-05-16,Large,2200
14,Oron,Akwa Ibom,2024-09-19,Small,500
15,Lafia,Nasarawa,2025-08-15,Large,2200
16,Ikorodu,Lagos,2025-05-30,Medium,1200
17,Bauchi,Bauchi,2024-10-05,Medium,1200
18,Kano,Kano,2025-07-01,Medium,1200
19,Katsina-Ala,Benue,2025-12-09,Large,2200
20,Oyo Town,Oyo,2024-05-01,Medium,1200
21,Badagry,Lagos,2025-12-07,Medium,1200
22,Kaduna,Kaduna,2025-09-19,Medium,1200
23,Potiskum,Yobe,2024-12-31,Medium,1200
24,Iseyin,Oyo,2024-08-18,Large,2200
25,Talata Mafara,Zamfara,2026-03-27,Large,2200
26,Onitsha,Anambra,2024-12-29,Small,500
27,Zuru,Kebbi,2024-07-03,Large,2200
28,Azare,Bauchi,2024-07-06,Large,2200
29,Oji River,Enugu,2026-01-06,Extra Large,3500
30,Ogbomoso,Oyo,2025-07-12,Large,2200
31,Ikom,Cross River,2025-12-08,Large,2200
32,Idanre,Ondo,2025-10-12,Extra Large,3500
33,Ikeja,Lagos,2025-05-23,Medium,1200
34,Gwadabawa,Sokoto,2026-04-08,Small,500
35,Awka,Anambra,2025-01-28,Medium,1200
36,Ohaozara,Ebonyi,2025-06-04,Small,500
37,Nassarawa,Nasarawa,2025-12-24,Extra Large,3500
38,Bali,Taraba,2025-07-23,Small,500
39,Dikwa,Borno,2026-01-16,Large,2200
40,Lokoja,Kogi,2025-06-23,Large,2200
